Plot,Tag,Family,Species,Month,year,CollectionNumber,CollectorString,sterile_collection,tropicos_species
TAM_02,525,Fabaceae,Diplotropis purpurea,6,1987,58144,Alwyn H. Gentry,1,Diplotropis purpurea
TAM_02,535,Moraceae,Pseudolmedia laevigata,8,2011,22576,Abel Monteagudo,1,Pseudolmedia laevigata
TAM_02,535,Moraceae,Pseudolmedia laevigata,6,1987,58139,Alwyn H. Gentry,1,Pseudolmedia laevigata
TAM_02,537,Moraceae,Brosimum lactescens,8,2011,22591,Abel Monteagudo,1,Brosimum lactescens
TAM_02,537,Moraceae,Brosimum lactescens,6,1987,58150,Alwyn H. Gentry,1,Brosimum lactescens
TAM_02,540,Annonaceae,Duguetia spixiana,6,1987,58148,Alwyn H. Gentry,1,Duguetia spixiana
TAM_02,567,Sapotaceae,Sarcaulus brasiliensis,6,1987,58154,Alwyn H. Gentry,1,Sarcaulus brasiliensis
TAM_02,172C,Burseraceae,Protium stevensonii,8,2014,26534,Abel Monteagudo,1,Protium stevensonii
TAM_02,616B,Nyctaginaceae,Neea divaricata,8,2014,26548,Abel Monteagudo,1,Neea divaricata
TAM_04,31,Chrysobalanaceae,Licania heteromorpha,9,2003,5839,Abel Monteagudo,1,Licania heteromorpha
TAM_04,43,Fabaceae,Hymenaea parvifolia,7,1985,51517,Alwyn H. Gentry,1,Hymenaea parvifolia
TAM_04,70,Siparunaceae,Siparuna decipiens,7,1985,51529,Alwyn H. Gentry,1,Siparuna decipiens
TAM_04,71,Annonaceae,Duguetia spixiana,7,1985,51496,Alwyn H. Gentry,1,Duguetia spixiana
TAM_04,72,Burseraceae,Protium altissima,9,2003,5899,Abel Monteagudo,0,Protium altissima
TAM_04,156,Sapotaceae,Micropholis guyanensis,9,2003,5861,Abel Monteagudo,1,Micropholis guianensis
TAM_04,156,Sapotaceae,Micropholis guyanensis,5,1987,57996,Alwyn H. Gentry,1,Micropholis guyanensis
TAM_04,163,Lecythidaceae,Eschweilera coriacea,9,2003,5860,Abel Monteagudo,1,Eschweilera coriacea
TAM_04,183,Burseraceae,Protium altissimum,5,1987,58009,Alwyn H. Gentry,1,Tetragastris altissima
