Pv_tag,Tag,T1,T2,X,Y,Family,Species,DBH0,DBH1,F2,Plot,SpecimenID,*Accession Numbers,*Barcodes,CollectorString,CollectionNumber,*FullName,UpperName,LowerName,Locality,ElevationDisplay,*Coordinate Display,LatitudeDecimal,LongitudeDecimal,Date Display,*Institutions,DeterminationYear,DeterminationBy,Description,plot.genus,spec.genus
300,179,1974,3-Apr,97.5,70.5,Moraceae,Batocarpus amazonicus,219,219,1,MNU_01,708619,3184569,MO-1408544,Alwyn H. Gentry,43465,Batocarpus costaricensis Standl. & L.O. Williams,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/8/1983,MO,1984,"A. Gentry,","Tree #300, 17.5 cm dbh, sterile.",Batocarpus,Batocarpus
NA,332,10,NA,24,2,Sapotaceae,Pouteria juruana,168,168,1,MNU_06,409229,3184450,MO-2180258,Alwyn H. Gentry,43477,Pouteria tarapotensis (Eichler ex Pierre) Baehni,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/10/1983,MO,1988,"T. Pennington (K),","Tree #332, 41.3 cm dbh, buds tan.",Pouteria,Pouteria
342,185,1974,3-Apr,107.5,78,Annonaceae,Oxandra espintana,169,169,1,MNU_01,752357,NA,NA,Alwyn H. Gentry,43481,Oxandra A. Rich.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/10/1983,MO,1986,"P. Maas & J. van Setton (U),","Tree #342, 15.7 cm dbh, sterile.",Oxandra,Oxandra
325,153,1974,3-Mar,79,82.5,Meliaceae,Guarea macrophylla,204,204,1,MNU_01,128979,NA,NA,Alwyn H. Gentry,43487,Guarea macrophylla subsp. pendulispica (C. DC.) T.D. Penn.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/10/1983,MO,1985,"T. Pennington,","Tree #325, 15.9 cm dbh, buds cream.",Guarea,Guarea
384,121,1974,3-Apr,103,85,Sapotaceae,Chrysophyllum venezuelanense,314,314,1,MNU_01,409277,3184436,MO-1967349,Alwyn H. Gentry,43502,Chrysophyllum venezuelanense (Pierre) T.D. Penn.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/10/1983,MO,1991,"A. Gentry,","Tree #384, 19.2 cm dbh, sterile.",Chrysophyllum,Chrysophyllum
379,208,1974,4-Apr,102.5,94,Moraceae,Naucleopsis krukovii,379,379,1,MNU_01,711872,3184434,MO-2180202,Alwyn H. Gentry,43504,Naucleopsis krukovii (Standl.) C.C. Berg,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/10/1983,MO,1986,"C.C. Berg (ARBOHA),","Tree #379, 24.2 cm dbh, sterile.",Naucleopsis,Naucleopsis
421,488,1974,4-Apr,92,108.5,Moraceae,Sorocea pileata,418,418,1,MNU_01,711893,3184467,MO-1596168,Alwyn H. Gentry,43511,Sorocea briquetii J.F. Macbr.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/10/1983,MO,1992,"C.C. Berg (BG),","Tree #421, 23.3 cm dbh, sterile, cream latex.",Sorocea,Sorocea
NA,519,new,5-Apr,102,133.5,Sapotaceae,Pouteria trilocularis,184,184,1,MNU_01,407442,3184474,MO-2180259,Alwyn H. Gentry,43541,Pouteria boliviana (Rusby) Baehni,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.8666667,-71.3666667,8/11/1983,MO,2010,?,"Tree #519, 12.5 cm dbh, sterile, latex.",Pouteria,Pouteria
NA,537,new,5-Mar,81,140,Sapotaceae,Chrysophyllum ovale,185,185,1,MNU_01,409382,3185415,MO-1967193,Alwyn H. Gentry,43573,Chrysophyllum argenteum Jacq. subsp. argenteum,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/14/1983,MO,1988,"T. Pennington (K),","Tree #537, 16.8 cm dbh, sterile.",Chrysophyllum,Chrysophyllum
NA,523,new,5-Feb,59,143,Chrysobalanaceae,Couepia latifolia,215,215,1,MNU_01,70401,3184516,MO-2180300,Alwyn H. Gentry,43576,Couepia cf. latifolia Standl.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/14/1983,MO,NA,G.T. Prance,"Tree #523, 15.1 cm dbh, sterile.",Couepia,Couepia
NA,533,new,5-Mar,69.5,146,Moraceae,Brosimum alicastrum,177,177,1,MNU_01,712135,3184514,MO-1492243,Alwyn H. Gentry,43578,Brosimum alicastrum subsp. bolivarense (Pittier) C.C. Berg,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.8666667,-71.3666667,8/14/1983,"MO, USM",1992,C.C.Berg,"Tree #533, 12.3 cm dbh, sterile.",Brosimum,Brosimum
NA,333,10,NA,18,6,Malvaceae,Quararibea ochrocalyx,164,164,1,MNU_06,189165,3195524,MO-2180345,Alwyn H. Gentry,43704,Quararibea Aubl.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/19/1983,MO,NA,NA,"Tree #333, 17.1 cm dbh, laefless.",Quararibea,Quararibea
118,108,5,NA,NA,NA,Moraceae,Helicostylis tomentosa,298,298,1,TAM_08,706088,3467904,MO-1514809,Alwyn H. Gentry & Nestor Jaramillo,57576,Helicostylis tomentosa (Poepp. & Endl.) Rusby,Madre de Dios,Tambopata,"Tambopata Nature Reserve; junction of R<ed>o La Torre and R<ed>o Tambopata, Swamp Trail. Tree Plot",250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.8333333,-69.2833333,5/24/1987,"MO, USM",1987,"C.C. Berg (BG),","Tree No. 118, 20.5 cm dbh, sterile.",Helicostylis,Helicostylis
267,248,12,NA,NA,NA,Myristicaceae,Iryanthera juruensis,185,185,1,TAM_08,761379,3470068,MO-1599562,Alwyn H. Gentry & Nestor Jaramillo,57630,Iryanthera juruensis Warb.,Madre de Dios,Tambopata,"Tambopata Nature Reserve; junction of R<ed>o La Torre and R<ed>o Tambopata, Swamp Trail. Tree Plot.",250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,5/25/1987,MO,1987,"Al Gentry,","Tree No. 248, 10.4 cm dbh, sterile, smooth bark.",Iryanthera,Iryanthera
439,412,20,NA,NA,NA,Myristicaceae,Iryanthera juruensis,172,172,1,TAM_08,761571,3471055,MO-1599554,Alwyn H. Gentry & Nestor Jaramillo,57725,Iryanthera juruensis Warb.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>o La Torre and R<ed>o Tambopata. Swamp Trail Tree Plot,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,5/27/1987,MO,1987,"Al Gentry,","Tree No. 439, 15.6 cm dbh, sterile, smooth bark.",Iryanthera,Iryanthera
1142,259,10,NA,24.8,18.3,Annonaceae,Guatteria boliviana,356,356,1,TAM_02,751446,3469026,MO-1976090,Alwyn H. Gentry & Nestor Jaramillo,58029,Guatteria Ruiz & Pav.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>os La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,6/1/1987,MO,1998,"P.J.M. Maas (U),","Tree No. 1142, 18.7 cm dbh, sterile.",Guatteria,Guatteria
1033,40,2,NA,14.7,23.3,Moraceae,Castilla ulei,413,413,1,TAM_02,708693,3469239,MO-1492409,Alwyn H. Gentry & Nestor Jaramillo,58033,Castilla ulei Warb.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>os La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.8333333,-69.2833333,6/1/1987,"MO, USM",1987,"A. Gentry,","Tree No. 1033, 37.7 cm dbh, buds brown.",Castilla,Castilla
1142,259,10,NA,24.8,18.3,Annonaceae,Guatteria boliviana,356,356,1,TAM_02,751460,3469034,MO-1946753,"Alwyn H. Gentry, Percy N<fa><f1>ez V. & Nestor Jaramillo",58060,Guatteria ucayalina Huber,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>os La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,6/2/1987,MO,2014,"P. J. M. Maas & L. Y. Th. Westra (L),","Tree No. 1142, 18.7 cm dbh, sterile.",Guatteria,Guatteria
1220,172,6,NA,25,83.8,Malvaceae,Quararibea guianensis,208,208,1,TAM_02,190685,3466887,MO-1480242,"Alwyn H. Gentry, Percy N<fa><f1>ez V. & Nestor Jaramillo",58076,Quararibea guianensis Aubl.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>os La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,6/2/1987,MO,2009,"W.S. Alverson (WIS),","Tree No. 1220, 18.5 cm dbh, sterile.",Quararibea,Quararibea
1434,442,17,NA,68.9,64.8,Sapotaceae,Pouteria torta,697,697,1,TAM_02,408043,3470808,MO-1992157,"Alwyn H. Gentry, Percy N<fa><f1>ez V. & Nestor Jaramillo",58085,Pouteria torta subsp. tuberculata (Sleumer) T.D. Penn.,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>os La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,6/2/1987,MO,NA,NA,"Tree No. 1434, emergent, large buttresses, reddish-fibrous trunk, fruits brownish.",Pouteria,Pouteria
1433,454,17,NA,71.5,64.7,Moraceae,Brosimum guianense,313,313,1,TAM_02,709344,3470608,MO-1409620,"Alwyn H. Gentry, Percy N<fa><f1>ez V. & Nestor Jaramillo",58155,Brosimum guianense (Aubl.) Huber,Madre de Dios,Tambopata,Tambopata Nature Reserve; junction of R<ed>os La Torre and Tambopata. Lateritic Tree Plot No. 1,250 m,12<U+00B0>50'S 069<U+00B0>17'W,-12.83333,-69.28333,6/3/1987,MO,1987,"Al Gentry,","Tree No. 1433, 85 cm dbh.",Brosimum,Brosimum
NA,3,new,3-Jan,4.5,63.5,Myristicaceae,Otoba parvifolia,313,313,1,MNU_01,758712,3154802,MO-1504801,Alwyn H. Gentry,43296,Otoba parvifolia (Markgr.) A.H. Gentry,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11°52'S 071°22'W,-11.86666,-71.36666,428630400,MO,NA,NA,"Tree #3, 28.5 cm dbh, sterile.",Otoba,Otoba
NA,15,new,3-Jan,26,64.5,Calophyllaceae,Caraipa densifolia,464,464,1,MNU_01,206792,NA,NA,Alwyn H. Gentry,43305,Caraipa myrcioides Ducke,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11°52'S 071°22'W,-11.86666,-71.36666,428630400,MO,1992,"R. Vasquez (AMAZ),","Tree #15, 24 cm dbh, sterile.",Caraipa,Caraipa
NA,17,new,3-Feb,30.5,64,Salicaceae,Xylosma intermedia,422,422,1,MNU_01,257759,3154799,MO-2180213,Alwyn H. Gentry,43299,Xylosma G. Forst.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11°52'S 071°22'W,-11.86666,-71.36666,428630400,MO,NA,NA,"Tree #17, 31.3 cm dbh, sterile.",Xylosma,Xylosma
NA,46,new,3-Jan,20.5,71.5,Annonaceae,Duguetia quitarensis,166,166,1,MNU_01,751881,3154782,MO-1941714,Alwyn H. Gentry,43318,Duguetia quitarensis Benth.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11°52'S 071°22'W,-11.86666,-71.36666,428630400,MO,1996,"P.J.M. Maas (U),","Tree #46, 13.4 cm dbh, sterile.",Duguetia,Duguetia
